"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2019","5,9479","5,9478","5,9529","5,9399","31,00K","0,06%"
"30.12.2019","5,9441","5,9493","5,9527","5,9350","38,96K","-0,09%"
"27.12.2019","5,9492","5,9335","5,9617","5,9257","50,76K","0,35%"
"26.12.2019","5,9286","5,9335","5,9455","5,9284","37,19K","-0,09%"
"25.12.2019","5,9340","5,9469","5,9504","5,9290","7,46K","-0,20%"
"24.12.2019","5,9458","5,9482","5,9567","5,9290","33,24K","-0,02%"
"23.12.2019","5,9471","5,9388","5,9524","5,9165","39,70K","0,19%"
"20.12.2019","5,9356","5,9417","5,9448","5,9001","45,47K","-0,04%"
"19.12.2019","5,9380","5,9267","5,9457","5,9000","55,38K","0,27%"
"18.12.2019","5,9219","5,8861","5,9323","5,8829","49,87K","0,68%"
"17.12.2019","5,8819","5,8501","5,8910","5,8429","49,71K","0,62%"
"16.12.2019","5,8454","5,8081","5,8597","5,8027","55,17K","0,66%"
"13.12.2019","5,8072","5,7906","5,8268","5,7670","51,86K","0,32%"
"12.12.2019","5,7889","5,8079","5,8131","5,7603","55,85K","-0,30%"
"11.12.2019","5,8064","5,8060","5,8195","5,7916","48,80K","0,06%"
"10.12.2019","5,8027","5,8112","5,8197","5,7876","53,92K","-0,08%"
"09.12.2019","5,8074","5,7758","5,8178","5,7712","55,61K","0,55%"
"06.12.2019","5,7756","5,7485","5,7906","5,7378","48,98K","0,55%"
"05.12.2019","5,7441","5,7455","5,7700","5,7358","54,61K","-0,06%"
"04.12.2019","5,7474","5,7420","5,7624","5,7302","50,14K","0,11%"
"03.12.2019","5,7410","5,7414","5,7664","5,7257","51,42K","0,05%"
"02.12.2019","5,7382","5,7465","5,7655","5,7302","50,56K","-0,14%"
"29.11.2019","5,7460","5,7575","5,7984","5,7343","48,33K","-0,08%"
"28.11.2019","5,7505","5,7769","5,7852","5,7510","59,20K","-0,46%"
"27.11.2019","5,7769","5,7599","5,7923","5,7480","53,18K","0,37%"
"26.11.2019","5,7556","5,7422","5,7712","5,7315","64,12K","0,39%"
"25.11.2019","5,7333","5,7173","5,7599","5,6993","56,06K","0,37%"
"22.11.2019","5,7122","5,6940","5,7255","5,6875","49,60K","0,36%"
"21.11.2019","5,6915","5,6997","5,7116","5,6813","56,25K","-0,01%"
"20.11.2019","5,6921","5,6993","5,7239","5,6825","64,53K","-0,10%"
"19.11.2019","5,6980","5,7364","5,7471","5,6929","53,79K","-0,61%"
"18.11.2019","5,7328","5,7434","5,7570","5,7165","56,42K","-0,20%"
"15.11.2019","5,7443","5,7471","5,7709","5,7351","54,68K","-0,01%"
"14.11.2019","5,7446","5,7401","5,7822","5,7361","58,00K","0,09%"
"13.11.2019","5,7393","5,7775","5,7834","5,7308","47,21K","-0,65%"
"12.11.2019","5,7766","5,7731","5,7844","5,7593","45,70K","0,14%"
"11.11.2019","5,7683","5,7671","5,7973","5,7583","43,18K","0,04%"
"08.11.2019","5,7658","5,7515","5,7716","5,7380","43,09K","0,32%"
"07.11.2019","5,7474","5,7504","5,7651","5,7301","55,90K","0,02%"
"06.11.2019","5,7460","5,7534","5,7737","5,7422","57,97K","-0,05%"
"05.11.2019","5,7488","5,7387","5,7642","5,7140","56,51K","0,19%"
"04.11.2019","5,7377","5,7085","5,7420","5,6790","52,77K","0,68%"
"01.11.2019","5,6989","5,7136","5,7410","5,6953","53,07K","-0,13%"
"31.10.2019","5,7065","5,7017","5,7283","5,6950","61,60K","0,10%"
"30.10.2019","5,7010","5,7380","5,7727","5,6950","46,89K","-0,56%"
"29.10.2019","5,7333","5,7312","5,7642","5,7145","36,75K","0,09%"
"28.10.2019","5,7281","5,7746","5,7771","5,7124","45,06K","-0,79%"
"25.10.2019","5,7738","5,7648","5,7926","5,7508","46,04K","0,21%"
"24.10.2019","5,7615","5,7351","5,7807","5,7265","60,55K","0,52%"
"23.10.2019","5,7317","5,8085","5,8212","5,7234","57,10K","-1,28%"
"22.10.2019","5,8059","5,8581","5,8645","5,7853","55,79K","-0,83%"
"21.10.2019","5,8544","5,7920","5,8678","5,7783","57,35K","1,10%"
"18.10.2019","5,7909","5,8297","5,8340","5,7473","61,33K","-0,65%"
"17.10.2019","5,8289","5,8871","5,9325","5,8147","55,25K","-0,97%"
"16.10.2019","5,8860","5,9163","5,9343","5,8696","62,94K","-0,35%"
"15.10.2019","5,9068","5,9272","5,9364","5,8555","62,35K","-0,33%"
"14.10.2019","5,9261","5,8852","5,9416","5,8851","54,26K","0,73%"
"11.10.2019","5,8833","5,8369","5,9003","5,8095","54,27K","0,88%"
"10.10.2019","5,8320","5,8708","5,9018","5,8149","58,35K","-0,61%"
"09.10.2019","5,8679","5,8320","5,8782","5,8130","53,71K","0,73%"
"08.10.2019","5,8251","5,8327","5,8476","5,7772","52,72K","-0,11%"
